,Unnamed: 0,Molecular Weight,Heavy Atom Molecular Weight,Radical Electrons,Valence Electrons,NHOH Count,NO Count,H Acceptors,H Donors,Aromatic Rings,Aromatic Carbocycles,Aromatic Heterocycles,Heteroatoms,Rotatable Bonds,C Count,N Count,F Count,Double Bonds,Triple Bonds
0,Lithium benzoate,128.05599999999998,123.01599999999998,0,46,0,2,2,0,1,1,0,3,1,7,0,0,1,0
1,DBN,124.18700000000001,112.091,0,50,0,2,2,0,0,0,0,2,0,7,2,0,1,0
2,ZnC6F52,399.5019999999999,399.5019999999999,0,120,0,0,0,0,2,2,0,11,0,12,0,10,0,0
3,BF3,67.80600000000001,67.80600000000001,0,24,0,0,0,0,0,0,0,4,0,0,0,3,0,0
4,Acridine Orange,265.36,246.20799999999994,0,102,0,3,3,0,3,2,1,3,2,17,3,0,0,0
5,TBAF,279.4839999999999,241.17999999999995,0,120,2,2,0,0,0,0,0,3,12,16,1,1,0,0
6,Pyronin B,358.9130000000001,331.697,0,134,0,3,2,0,1,1,0,4,5,21,2,0,1,0
7,NDI-N,436.5120000000003,408.2880000000002,0,168,0,8,6,0,2,2,0,8,8,24,4,0,4,0
8,DQ,184.24200000000002,172.146,0,70,0,2,2,0,0,0,0,2,0,12,2,0,5,0
9,BV,338.454,316.2780000000001,0,128,0,2,2,0,2,2,0,2,4,24,2,0,5,0
10,BTQBT,396.59400000000005,392.56200000000007,0,108,0,4,10,0,3,1,2,10,0,12,4,0,4,0
11,BCF,511.98,511.98,0,180,0,0,0,0,3,3,0,16,3,18,0,15,0,0
12,p-Me-DMBI,240.35,220.18999999999997,0,94,1,2,2,1,2,2,0,2,4,16,2,0,0,0
13,p-Me-DMBI-Me2,266.38800000000003,244.21199999999993,0,104,0,2,2,0,2,2,0,2,1,18,2,0,0,0
14,o-MeO-DMBI,212.252,200.15599999999998,0,80,3,3,3,3,2,2,0,3,1,13,2,0,0,0
15,TTN,352.53,344.46600000000007,0,104,0,0,4,0,4,4,0,4,0,18,0,0,0,0
16,TDAE,202.34599999999998,176.13799999999998,0,86,0,4,4,0,0,0,0,4,5,10,4,0,0,0
17,TBD,139.202,126.09799999999998,0,56,1,3,3,1,0,0,0,3,0,7,3,0,1,0
18,TAM,181.28299999999996,162.13099999999997,0,74,0,3,3,0,0,0,0,3,0,10,3,0,0,0
19,N-DMBI-Me2,295.43000000000006,270.22999999999996,0,116,0,3,3,0,2,2,0,3,2,19,3,0,0,0
20,F6-TCNNQ,364.20799999999997,362.19199999999995,0,128,0,4,4,0,2,2,0,10,2,16,4,6,0,4
21,F2-HCNQ,292.208,290.192,0,102,0,6,6,0,1,1,0,8,2,14,6,2,0,6
22,DPDHP,353.4650000000001,330.2810000000001,0,134,0,2,2,0,3,3,0,2,4,25,1,0,2,0
23,DMBI-Me2,252.36100000000002,232.20099999999994,0,98,0,2,2,0,2,2,0,2,1,17,2,0,0,0
